Codigo Punto de Venta;Punto de Venta;Empresas;Latitud;Longitud;Canal;Zona;Distrito
52914;D EVER GRAU;PERNOD RICARD PERU S.A.;-5.1877874;-80.6515448;TRADICIONAL;PIURA;PIURA
53428;DANA;PERNOD RICARD PERU S.A.;-12.0558068;-77.0288702;TRADICIONAL;LIMA;LIMA
53432;DISTRIBUIDORA TRES MARIAS;PERNOD RICARD PERU S.A.;-12.06772256;-77.0091796;TRADICIONAL;LIMA;LIMA
53444;LA CANASTA AMAUTA;PERNOD RICARD PERU S.A.;-13.5226034;-71.9631847;TRADICIONAL;CUSCO;CUSCO
53449;LICORERIA LUCHITA;PERNOD RICARD PERU S.A.;-13.524249;-71.9810637;TRADICIONAL;CUSCO;CUSCO
53462;SANTORO LICORES;PERNOD RICARD PERU S.A.;-12.0547395;-77.0263355;TRADICIONAL;LIMA;LIMA
99389;ORION SUPERMERCADO MARCAVALLE;PERNOD RICARD PERU S.A.;-13.527265;-71.9474;TRADICIONAL;FUERA_DE_RUTA;CUSCO
99390;ORION SUPERMERCADOS AMERICA;PERNOD RICARD PERU S.A.;-13.52325;-71.967412;TRADICIONAL;FUERA_DE_RUTA;CUSCO
99391;ORION SUPERMERCADOS  SAN PEDRO;PERNOD RICARD PERU S.A.;-13.520364;-71.983408;TRADICIONAL;FUERA_DE_RUTA;CUSCO
99392;ORION SUPERMERCADOS MATARA;PERNOD RICARD PERU S.A.;-13.5208404;-71.9789416;TRADICIONAL;CUSCO;CUSCO
99393;ORION SUPERMERCADOS HUAYRUROPATA;PERNOD RICARD PERU S.A.;-13.524765;-71.9645725;TRADICIONAL;CUSCO;CUSCO
99394;ORION SUPERMERCADO LA CULTURA;PERNOD RICARD PERU S.A.;-13.52709943;-71.94765598;TRADICIONAL;CUSCO;CUSCO
99395;ORION SUPERMERCADOS GARCILAZO;PERNOD RICARD PERU S.A.;-13.52262586;-71.96775435;TRADICIONAL;CUSCO;CUSCO
99396;ORION SUPERMERCADOS UNION;PERNOD RICARD PERU S.A.;-13.5202289;-71.9832602;TRADICIONAL;CUSCO;CUSCO
99397;ORION SUPERMERCADOS MELOQ;PERNOD RICARD PERU S.A.;-13.5247022;-71.9556706;TRADICIONAL;FUERA_DE_RUTA;CUSCO
99405;LA TABERNA TRUJILLO;PERNOD RICARD PERU S.A.;-8.1364073;-79.0489227;TRADICIONAL;TRUJILLO;TRUJILLO
99407;EL KORCHO JOSE LEONARDO;PERNOD RICARD PERU S.A.;-6.772022269;-79.84530685;TRADICIONAL;CHICLAYO;CHICLAYO
99410;EL KORCHO FERNANDO BELAUNDE;PERNOD RICARD PERU S.A.;-6.765320856;-79.8534286;TRADICIONAL;CHICLAYO;CHICLAYO
99411;LAS CAVAS VICTORIA UNION;PERNOD RICARD PERU S.A.;-6.794693379;-79.84244223;TRADICIONAL;CHICLAYO;CHICLAYO
99412;LAS CAVAS VICTORIA LOS INCAS;PERNOD RICARD PERU S.A.;-6.79525;-79.8407317;TRADICIONAL;CHICLAYO;CHICLAYO
305434;ARE FER SAC;PERNOD RICARD PERU S.A.;-12.0426048;-76.9475603;TRADICIONAL;LIMA;LIMA
305435;LICORERIA LA TIENDA DE MI APA;PERNOD RICARD PERU S.A.;-12.0189967;-77.075885;TRADICIONAL;LIMA;LIMA
305437;CARLOS VÁSQUEZ PALACIN;PERNOD RICARD PERU S.A.;-11.933457;-77.047348;TRADICIONAL;LIMA;LIMA
422097;LA 530 III;PERNOD RICARD PERU S.A.;-12.070255;-77.0715317;TRADICIONAL;LIMA;LIMA
452684;DABAMA;PERNOD RICARD PERU S.A.;-12.0541917;-77.0285656;TRADICIONAL;LIMA;LIMA
452686;LICORERIA EL MUNDO DE LOS LICORES 309;PERNOD RICARD PERU S.A.;-12.0527465;-76.9641427;TRADICIONAL;LIMA;LIMA
452689;JMS;PERNOD RICARD PERU S.A.;-12.1527152;-76.9703401;TRADICIONAL;LIMA;LIMA
452690;EL CHINITO;PERNOD RICARD PERU S.A.;-12.1529225;-76.9705216;TRADICIONAL;LIMA;LIMA
452691;LICORERIA MARYS;PERNOD RICARD PERU S.A.;-12.15431331;-76.9724264;TRADICIONAL;LIMA;SAN JUAN DE LURIGANCHO
454051;LICORERIA TEQUILA;PERNOD RICARD PERU S.A.;-11.96671;-77.0785997;TRADICIONAL;LIMA;LIMA
454052;LICORERIA BB+;PERNOD RICARD PERU S.A.;-12.0484429;-76.9674106;TRADICIONAL;LIMA;LIMA
454060;PUNTO SMOK;PERNOD RICARD PERU S.A.;-16.39690375;-71.53468611;TRADICIONAL;FUERA_DE_RUTA;AREQUIPA
454063;SOMM VINOTECA (CAYMA);PERNOD RICARD PERU S.A.;-16.388118;-71.547048;TRADICIONAL;FUERA_DE_RUTA;AREQUIPA
